time,v,stimulus
-0.0019,-0.086,0.000
-0.0018,-0.099,-0.001
-0.0017,-0.103,-0.001
-0.0016,-0.107,-0.000
-0.0015,-0.111,-0.001
-0.0014,-0.112,0.000
-0.0013,-0.106,-0.000
-0.0012,-0.103,-0.000
-0.0011,-0.102,-0.001
-0.001,-0.099,-0.000
-0.0009,-0.102,0.000
-0.0008,-0.108,0.000
-0.0007,-0.111,-0.001
-0.0006,-0.118,-0.000
-0.0005,-0.123,0.000
-0.0004,-0.126,0.000
-0.0003,-0.136,-0.000
-0.0002,-0.138,-0.000
-0.0001,-0.133,-0.001
0.0,-0.134,-0.001
0.0001,-0.138,-0.000
0.0002,-0.129,-0.001
0.0003,-2.149,1.152
0.0004,-4.500,1.156
0.0005,-5.273,0.005
0.0006,-5.366,0.002
0.0007,-2.847,0.001
0.0008,-0.262,0.001
0.0009,1.561,0.000
0.001,2.750,0.000
0.0011,3.548,0.000
0.0012,3.969,0.001
0.0013,4.023,0.000
0.0014,3.861,0.000
0.0015,3.596,0.000
0.0016,3.241,0.000
0.0017,2.656,0.000
0.0018,1.752,0.000
0.0019,0.778,0.000
0.002,0.019,-0.000
0.0021,-0.378,-0.000
0.0022,-0.317,-0.000
0.0023,0.113,0.000
0.0024,0.653,0.000
0.0025,1.105,-0.000
0.0026,1.391,-0.000
0.0027,1.520,-0.000
0.0028,1.508,0.000
0.0029,1.414,-0.000
0.003,1.272,-0.000
0.0031,1.117,-0.001
0.0032,0.979,-0.001
0.0033,0.858,0.000
0.0034,0.742,-0.001
0.0035,0.628,0.000
0.0036,0.509,0.000
0.0037,0.382,-0.001
0.0038,0.263,-0.000
0.0039,0.145,-0.000
0.004,0.045,-0.001
0.0041,-0.049,-0.001
0.0042,-0.134,-0.001
0.0043,-0.203,0.000
0.0044,-0.273,-0.001
0.0045,-0.327,-0.000
0.0046,-0.368,-0.001
0.0047,-0.408,-0.001
0.0048,-0.440,0.000
0.0049,-0.464,-0.000
0.005,-0.492,-0.000
0.0051,-0.514,-0.000
0.0052,-0.533,-0.000
0.0053,-0.548,-0.001
0.0054,-0.566,-0.000
0.0055,-0.584,0.000
0.0056,-0.602,-0.000
0.0057,-0.613,0.000
0.0058,-0.621,-0.000
0.0059,-0.620,-0.000
0.006,-0.615,-0.000
0.0061,-0.599,-0.001
0.0062,-0.588,0.000
0.0063,-0.577,-0.001
0.0064,-0.562,-0.000
0.0065,-0.546,-0.000
0.0066,-0.528,-0.001
0.0067,-0.512,-0.000
0.0068,-0.493,-0.000
0.0069,-0.481,-0.000
0.007,-0.478,-0.000
0.0071,-0.473,-0.000
0.0072,-0.463,-0.001
0.0073,-0.448,0.000
0.0074,-0.434,0.000
0.0075,-0.415,-0.000
0.0076,-0.392,-0.000
0.0077,-0.369,-0.001
0.0078,-0.348,-0.001
0.0079,-0.329,-0.001
0.008,-0.308,0.000
0.0081,-0.287,-0.000
0.0082,-0.274,0.000
0.0083,-0.264,-0.001
0.0084,-0.242,-0.000
0.0085,-0.232,-0.000
0.0086,-0.223,0.000
0.0087,-0.207,-0.001
