Interval=	0.0001 s
ExcelDateTime=	3.9815061567394674e+004	2009/1/2 1:28:39.4229
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
-0.0019	-0.247	-0.000
-0.0018	-0.245	-0.000
-0.0017	-0.247	-0.000
-0.0016	-0.246	0.000
-0.0015	-0.249	-0.000
-0.0014	-0.250	-0.001
-0.0013	-0.249	-0.000
-0.0012	-0.250	-0.000
-0.0011	-0.247	-0.000
-0.001	-0.242	0.000
-0.0009	-0.241	0.000
-0.0008	-0.240	-0.001
-0.0007	-0.241	-0.001
-0.0006	-0.240	0.000
-0.0005	-0.241	0.000
-0.0004	-0.242	-0.001
-0.0003	-0.242	-0.001
-0.0002	-0.242	-0.000
-0.0001	-0.242	-0.001
0.0	-0.241	0.000
0.0001	-0.240	-0.000
0.0002	-0.236	0.049
0.0003	3.400	0.924
0.0004	5.013	0.926
0.0005	-0.672	0.003
0.0006	-4.040	0.000
0.0007	-5.163	-0.000
0.0008	-5.169	0.000
0.0009	-4.051	0.000
0.001	-2.969	0.000
0.0011	-2.165	0.000
0.0012	-1.607	0.000
0.0013	-1.226	-0.000
0.0014	-0.970	0.000
0.0015	-0.802	-0.000
0.0016	-0.694	0.000
0.0017	-0.610	-0.000
0.0018	-0.530	0.000
0.0019	-0.445	0.000
0.002	-0.367	-0.000
0.0021	-0.301	0.000
0.0022	-0.246	-0.000
0.0023	-0.202	0.000
0.0024	-0.174	0.000
0.0025	-0.157	0.000
0.0026	-0.146	-0.000
0.0027	-0.130	0.000
0.0028	-0.118	-0.001
0.0029	-0.108	0.000
0.003	-0.096	-0.001
0.0031	-0.090	-0.000
0.0032	-0.083	0.000
0.0033	-0.078	0.000
0.0034	-0.072	0.000
0.0035	-0.069	0.000
0.0036	-0.068	-0.001
0.0037	-0.071	0.000
0.0038	-0.073	-0.000
0.0039	-0.069	0.000
0.004	-0.070	0.001
0.0041	-0.072	0.000
0.0042	-0.071	0.000
0.0043	-0.078	-0.001
0.0044	-0.078	-0.000
0.0045	-0.083	-0.000
0.0046	-0.089	-0.000
0.0047	-0.094	0.000
0.0048	-0.094	-0.000
0.0049	-0.098	-0.000
0.005	-0.103	-0.000
0.0051	-0.108	-0.000
0.0052	-0.112	0.000
0.0053	-0.113	0.000
0.0054	-0.116	0.000
0.0055	-0.121	0.000
0.0056	-0.126	-0.000
0.0057	-0.132	-0.000
0.0058	-0.143	0.000
0.0059	-0.150	-0.000
0.006	-0.157	-0.000
0.0061	-0.164	-0.000
0.0062	-0.169	-0.001
0.0063	-0.172	-0.000
0.0064	-0.176	0.000
0.0065	-0.179	0.000
0.0066	-0.185	0.000
0.0067	-0.191	0.000
0.0068	-0.193	-0.001
0.0069	-0.197	-0.000
0.007	-0.200	0.000
0.0071	-0.204	-0.000
0.0072	-0.208	0.000
0.0073	-0.217	-0.001
0.0074	-0.222	-0.000
0.0075	-0.228	-0.001
0.0076	-0.233	0.000
0.0077	-0.234	0.000
0.0078	-0.237	-0.001
0.0079	-0.240	0.000
0.008	-0.245	-0.000
0.0081	-0.243	-0.001
0.0082	-0.247	-0.000
0.0083	-0.255	-0.000
0.0084	-0.254	0.000
0.0085	-0.254	-0.000
0.0086	-0.259	0.000
0.0087	-0.265	-0.001
0.0088	-0.268	-0.000
0.0089	-0.271	0.000
0.009	-0.273	-0.000
